isomer,G,E
3,0.17154132931449742,0.15102188433732944
3,0.000309299815136504,6.5467867737385356e-06
3,5.6911929612649816e-06,3.738124983765059e-07
3,0.00014274758019832104,9.908446439962411e-07
3,0.3094547064885307,0.19321434169199114
3,1.4196987600328817e-05,3.781363736471622e-06
3,5.849129299149728e-07,5.674044711873193e-09
3,2.7617426907263007e-10,3.2744476408582646e-11
3,3.267593022178925e-05,8.396256654830703e-06
3,0.0010680636604595388,7.415704724841985e-05
3,1.3819056667848884e-08,5.609505683855157e-09
3,1.2956567553648266e-07,4.624980122064109e-09
3,0.0007864168705519348,9.850004582536719e-05
3,0.4732199908016825,0.6538385951840109
3,1.9583746998909182e-07,5.934681100172391e-09
3,0.04342395694685344,0.001732410753331353
