isomer,G,E
1,0.4865967827818016,1.5018156021899225e-15
1,0.0001295367935536021,7.21745197260352e-21
1,5.585586783916382e-06,1.0142855230226459e-21
1,1.2203582783781406e-06,1.6212681154644467e-21
1,0.21502933670710522,3.7382040050964877e-16
1,1.1686896994408046e-05,1.1324740422478383e-20
1,1.750975092979767e-07,6.098936378936578e-24
1,1.1590888428173255e-10,5.993174271950008e-26
1,1.700374191899757e-05,1.2610136060037712e-20
1,0.0005847825446568479,1.2609569124186436e-19
1,1.124401060887192e-08,1.5230249231134265e-23
1,4.8294959109331175e-08,7.119709692936974e-24
1,0.0007320109335274263,2.477979874526143e-19
1,0.2964027589586325,1.1685278640546656e-15
1,1.241009520621908e-07,1.1337070487245592e-23
1,0.0004889358434071263,0.9999999999999969
